"ga:nextPagePath";"ga:landingPagePath";"ga:pageviews";"ga:timeOnPage";
"/";"/";"548";"157547.0";
"/.well-known/void";"/.well-known/void";"2";"22.0";
"/?b=http://aksw.org/Projects/CubeViz.html&conf=http://purl.org/pundit/conf/pundit-all.js";"/?b=http://aksw.org/Projects/CubeViz.html&conf=http://purl.org/pundit/conf/pundit-eswc.js";"2";"39.0";
"/?b=http://aksw.org/Projects/CubeViz.html&conf=http://purl.org/pundit/conf/pundit-eswc.js";"/?b=http://aksw.org/Projects/CubeViz.html&conf=http://purl.org/pundit/conf/pundit-eswc.js";"4";"170.0";
"/About";"/About";"222";"5628.0";
"/About.html";"/About";"1";"4.0";
"/About?offset=351";"/About";"1";"12.0";
"/About?offset=363";"/About";"1";"7.0";
"/About?offset=443";"/About";"1";"6.0";
"/About?offset=476";"/About";"1";"6.0";
"/About?offset=478";"/About";"1";"3.0";
"/About?offset=482";"/About";"4";"39.0";
"/About?offset=483";"/About";"1";"5.0";
"/About?offset=493";"/About";"1";"7.0";
"/About?offset=495";"/About";"1";"4.0";
"/About?offset=497";"/About";"1";"8.0";
"/About?offset=520";"/About";"1";"94.0";
"/About?offset=543";"/About";"1";"7.0";
"/About?offset=549";"/About";"4";"58.0";
"/About?offset=572";"/About";"1";"5.0";
"/About?offset=577";"/About";"2";"23.0";
"/About?offset=579";"/About";"1";"54.0";
"/About?offset=583";"/About";"1";"17.0";
"/About?offset=598";"/About";"2";"32.0";
"/About?offset=720";"/About";"1";"9.0";
"/About?offset=770";"/About";"1";"3.0";
"/AliKhalili";"/About";"5";"78.0";
"/AmrapaliZaveri";"/About";"2";"8.0";
"/Data/GermanBudget";"/About";"4";"527.0";
"/DimitrisKontokostas";"/About";"5";"11.0";
"/Events/2009/Campus2009";"/About";"1";"10.0";
"/FP7Ideas/SemanticDocumentWiki";"/About";"1";"3.0";
"/Groups";"/About";"7";"24.0";
"/Groups/CSSE";"/About";"2";"4.0";
"/Groups/ES";"/About";"2";"5.0";
"/Groups/MOLE";"/About";"3";"3.0";
"/Groups/SIMBA";"/About";"2";"4.0";
"/Groups/__history__.html?0=";"/About";"5";"42.0";
"/Internal";"/About";"4";"40.0";
"/Internal/";"/About";"1";"7.0";
"/Internal/AKSW/Server";"/About";"1";"17.0";
"/Internal/Akquise/HBFG2010";"/About";"1";"47.0";
"/Internal/InternationalStudentsHelpCenter";"/About";"4";"7.0";
"/Internal/NewPhDStudents";"/About";"12";"672.0";
"/Internal/PaperSVN";"/About";"2";"59.0";
"/Internal/Responsibilities";"/About";"3";"8.0";
"/Internal/ScientificWriting";"/About";"2";"11.0";
"/Internal/Server";"/About";"2";"12.0";
"/Internal/WorkingTechniques";"/About";"1";"369.0";
"/Internal/responsibilities";"/About";"3";"327.0";
"/Login";"/About";"68";"2171.0";
"/Login.html";"/About";"1";"2.0";
"/Loginx";"/About";"1";"29.0";
"/Partner";"/About";"1";"6.0";
"/Password";"/About";"4";"312.0";
"/Projects";"/About";"2";"165.0";
"/Projects/LinkedDataBrowser";"/About";"2";"18.0";
"/Projects/MobileSocialSemanticWeb";"/About";"2";"2.0";
"/Projects/NKE";"/About";"3";"1224.0";
"/Projects/OntoWiki";"/About";"1";"10.0";
"/Projects/Puma";"/About";"2";"157.0";
"/Projects/tree";"/About";"1";"3.0";
"/Publications";"/About";"1";"5.0";
"/Registration";"/About";"2";"4.0";
"/TextSearch?phrase=";"/About";"3";"21.0";
"/TextSearch?phrase=DELL";"/About";"2";"8.0";
"/TextSearch?phrase=Dell";"/About";"1";"4.0";
"/TextSearch?phrase=Hardware";"/About";"1";"4.0";
"/TextSearch?phrase=Responsibilities";"/About";"1";"6.0";
"/TextSearch?phrase=Semantic";"/About";"1";"10.0";
"/TextSearch?phrase=Sementic+web";"/About";"1";"21.0";
"/TextSearch?phrase=Web";"/About";"1";"13.0";
"/TextSearch?phrase=account";"/About";"5";"21.0";
"/TextSearch?phrase=accounts";"/About";"2";"11.0";
"/TextSearch?phrase=bib";"/About";"2";"7.0";
"/TextSearch?phrase=burse";"/About";"1";"2.0";
"/TextSearch?phrase=cloud";"/About";"1";"6.0";
"/TextSearch?phrase=dell";"/About";"2";"22.0";
"/TextSearch?phrase=ib";"/About";"2";"2.0";
"/TextSearch?phrase=kosten";"/About";"1";"6.0";
"/TextSearch?phrase=login";"/About";"1";"9.0";
"/TextSearch?phrase=logo";"/About";"2";"12.0";
"/TextSearch?phrase=moussallem";"/About";"4";"41.0";
"/TextSearch?phrase=premium";"/About";"1";"12.0";
"/TextSearch?phrase=reimbursement";"/About";"4";"8.0";
"/TextSearch?phrase=reisekosten";"/About";"1";"4.0";
"/TextSearch?phrase=server";"/About";"2";"30.0";
"/TextSearch?phrase=shorthistory";"/About";"1";"13.0";
"/TextSearch?phrase=svn";"/About";"1";"3.0";
"/TextSearch?phrase=travel";"/About";"1";"4.0";
"/Wachstumskern";"/About";"1";"17.0";
"/__history__.html?0=";"/About";"6";"67.0";
"/asdfasdf";"/About";"2";"10.0";
"/password";"/About";"6";"168.0";
"/reimbursement";"/About";"11";"1373.0";
"/responsabilities";"/About";"1";"347.0";
"/schema/SWORE";"/About";"2";"62.0";
"/schema/SWORE/102";"/About";"1";"4.0";
"/wakka.php";"/About";"1";"3.0";
"/wakka.php?wakka=Login";"/About";"3";"144.0";
"/wakka.php?wakka=login";"/About";"6";"418.0";
"/wakka.php?wakka=x";"/About";"1";"3.0";
"/ Dimitris Kontokostas";"/About.html";"1";"4.0";
"/About";"/About.html";"2";"7.0";
"/About.html";"/About.html";"9045";"482821.0";
"/Address/Schloss_Birlinghoven_1_53754_Sankt_Augustin.html";"/About.html";"1";"90.0";
"/AlanTygel.html";"/About.html";"17";"1059.0";
"/Alan_Tygel.html";"/About.html";"2";"664.0";
"/AliKhalili.html";"/About.html";"20";"824.0";
"/AmrapaliZaveri.html";"/About.html";"41";"3010.0";
"/AndreValdestilhas.html";"/About.html";"19";"1996.0";
"/AndreasNareike.html";"/About.html";"14";"357.0";
"/AxelNgonga.html";"/About.html";"73";"5590.0";
"/BettinaKlimek.html";"/About.html";"18";"976.0";
"/C:/saleh.jpg";"/About.html";"1";"135.0";
"/ChristophLange.html";"/About.html";"60";"3771.0";
"/CiroBaron.html";"/About.html";"38";"4905.0";
"/ClausStadler.html";"/About.html";"16";"456.0";
"/ClemensHoffmann.html";"/About.html";"4";"20.0";
"/Contact.html";"/About.html";"77";"2872.0";
"/DanielGerber.html";"/About.html";"6";"198.0";
"/DaryaTarasowa.html";"/About.html";"43";"1141.0";
"/Demo/ConTEXT.html";"/About.html";"96";"2051.0";
"/Demo/Luzzu.html";"/About.html";"1";"49.0";
"/Demo/SINA.html";"/About.html";"1";"56.0";
"/Demo/SlideWiki.html";"/About.html";"6";"143.0";
"/Diachron.html";"/About.html";"3";"7.0";
"/DiegoEsteves.html";"/About.html";"21";"522.0";
"/DiegoMoussallem.html";"/About.html";"7";"205.0";
"/Diego_Collarana.html";"/About.html";"23";"1551.0";
"/DietlandZuehlke.html";"/About.html";"21";"255.0";
"/Dimitris Kontokostas";"/About.html";"1";"4.0";
"/DimitrisKontokostas.html";"/About.html";"23";"3507.0";
"/EdgardMarx.html";"/About.html";"26";"792.0";
"/Environment.html";"/About.html";"52";"1921.0";
"/Events.html";"/About.html";"201";"9592.0";
"/Events/2013/LeipzigerSemanticWebTag.html";"/About.html";"2";"53.0";
"/Events/2013/LeipzigerSemanticWebTag/Kerntag.html";"/About.html";"1";"6.0";
"/Events/2014/DERM2014.html";"/About.html";"1";"27.0";
"/FabrizioOrlandi.html";"/About.html";"34";"358.0";
"/Farah_Karim.html";"/About.html";"14";"468.0";
"/FarshadBadie.html";"/About.html";"3";"40.0";
"/FranzTeichmann.html";"/About.html";"11";"27.0";
"/Goekhan_Coskun.html";"/About.html";"35";"2748.0";
"/Groups.html";"/About.html";"230";"10562.0";
"/Groups/AIKE.html";"/About.html";"13";"338.0";
"/Groups/ES.html";"/About.html";"15";"717.0";
"/Groups/MOLE.html";"/About.html";"52";"7106.0";
"/Groups/NLP2RDF.html";"/About.html";"13";"474.0";
"/Groups/SIMBA.html";"/About.html";"18";"853.0";
"/HenriKnochenhauer.html";"/About.html";"9";"185.0";
"/Imprint.html";"/About.html";"29";"1412.0";
"/Internal.html";"/About.html";"11";"1316.0";
"/Irlan.html";"/About.html";"10";"46.0";
