"ga:nextPagePath";"ga:landingPagePath";"ga:pageviews";"ga:timeOnPage";
"http://sstu.ru/";"http://sstu.ru/";"565007";"4.7911181E7";
"http://sstu.ru/?back_url_admin=/bitrix/admi";"http://sstu.ru/";"26";"990.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?_r=3091";"http://sstu.ru/";"1";"6.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?_r=3278";"http://sstu.ru/";"1";"4.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?_r=3705";"http://sstu.ru/";"1";"4.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?_r=5686";"http://sstu.ru/";"1";"31.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?_r=7022&bitrix_include_areas=N";"http://sstu.ru/";"1";"371.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?_r=9069&bitrix_include_areas=N";"http://sstu.ru/";"1";"130.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?_r=9117&bitrix_include_areas=N";"http://sstu.ru/";"1";"95.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?bitrix_include_areas=N";"http://sstu.ru/";"247";"29104.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?dt_page=0&bitrix_include_areas=N";"http://sstu.ru/";"2";"24.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?dt_page=1";"http://sstu.ru/";"1";"2.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?dt_page=1&bitrix_include_areas=N";"http://sstu.ru/";"9";"1074.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?lang=ru";"http://sstu.ru/";"4";"123.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/?lang=ru&bitrix_include_areas=N";"http://sstu.ru/";"7";"1338.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/bizproc_task.php?id=120&back_url=/bitrix/admin/bizproc_task_list.php?lang=ru&bitrix_include_areas=N&bitrix_include_areas=N";"http://sstu.ru/";"1";"9.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/bizproc_task.php?id=123&back_url=/bitrix/admin/bizproc_task_list.php?lang=ru&bitrix_include_areas=N&bitrix_include_areas=N";"http://sstu.ru/";"1";"5.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/bizproc_task.php?id=129&back_url=/bitrix/admin/bizproc_task_list.php?lang=ru&bitrix_include_areas=N&bitrix_include_areas=N";"http://sstu.ru/";"1";"1307.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/bizproc_task.php?id=139&back_url=/bitrix/admin/bizproc_task_list.php?lang=ru&bitrix_include_areas=N&bitrix_include_areas=N";"http://sstu.ru/";"2";"3281.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/bizproc_task.php?id=157&back_url=/bitrix/admin/bizproc_task_list.php?lang=ru&bitrix_include_areas=N&bitrix_include_areas=N";"http://sstu.ru/";"1";"496.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/bizproc_task.php?id=173&back_url=/bitrix/admin/bizproc_task_list.php?lang=ru&bitrix_include_areas=N&bitrix_include_areas=N";"http://sstu.ru/";"1";"7.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/bizproc_task.php?id=248&back_url=/bitrix/admin/bizproc_task_list.php?lang=ru&bitrix_include_areas=N&bitrix_include_areas=N";"http://sstu.ru/";"1";"7.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/bizproc_task.php?id=403&back_url=/bitrix/admin/bizproc_task_list.php?lang=ru&bitrix_include_areas=N&bitrix_include_areas=N";"http://sstu.ru/";"1";"527.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/bizproc_task.php?id=565&back_url=/bitrix/admin/bizproc_task_list.php?lang=ru&bitrix_include_areas=N&bitrix_include_areas=N";"http://sstu.ru/";"1";"4.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/bizproc_task_list.php?lang=ru";"http://sstu.ru/";"1";"5.0";
"http://sstu.ru/?back_url_admin=/bitrix/admin/bizproc_task_list.php?lang=ru&bitrix_include_areas=N";"http://sstu.ru/";"52";"6443.0";
